INVENT_ID,UTM_E,UTM_N,TAMBON,DISTRICT,PROVINCE,YEAR_DATA,REMARK,REMARK_2,LONGITUDE,LATITUDE
25744,653508,2009534,ปิงหลวง,นาหมื่น,น่าน,0, , ,100.45133435617463,18.16940164038177
25745,654263,2007567,ปิงหลวง,นาหมื่น,น่าน,0, , ,100.45832324617334,18.151574693569156
25746,653764,2007286,ปิงหลวง,นาหมื่น,น่าน,0, , ,100.45358608052051,18.149071398257416
25747,653458,2007016,ปิงหลวง,นาหมื่น,น่าน,0, , ,100.45067390703883,18.146653621804663
25748,664774,2012226,ปิงหลวง,นาหมื่น,น่าน,0, , ,100.55803621948849,18.19289045368529
25749,664561,2012379,ปิงหลวง,นาหมื่น,น่าน,0, , ,100.55603499130315,18.194289157593115
25750,665457,2010251,ปิงหลวง,นาหมื่น,น่าน,0, , ,100.56433351240389,18.17499365668596
25751,653403,2008830,ปิงหลวง,นาหมื่น,น่าน,0, , ,100.45028934636775,18.163048089988084
25752,649856,2002329,ปิงหลวง,นาหมื่น,น่าน,0, , ,100.41629038589852,18.10455677730755
25753,662907,2006725,ปิงหลวง,นาหมื่น,น่าน,0, , ,100.53995143504963,18.143330263672734
25754,663214,2007302,ปิงหลวง,นาหมื่น,น่าน,0, , ,100.54289846009581,18.148520336159578
25755,664302,2007891,ปิงหลวง,นาหมื่น,น่าน,0, , ,100.55322781981545,18.1537592958266
25756,662907,2006725,ปิงหลวง,นาหมื่น,น่าน,0, , ,100.53995143504963,18.143330263672734
25757,663214,2007302,ปิงหลวง,นาหมื่น,น่าน,0, , ,100.54289846009581,18.148520336159578
25758,664302,2007891,ปิงหลวง,นาหมื่น,น่าน,0, , ,100.55322781981545,18.1537592958266
25863,711754,2146785,และ,ทุ่งช้าง,น่าน,0, , ,101.01650895951278,19.40414919055983
25864,697676,2149253,และ,ทุ่งช้าง,น่าน,0, , ,100.88275826518304,19.427879060358425
25865,706167,2150757,และ,ทุ่งช้าง,น่าน,0, , ,100.96375924076644,19.440606524979685
25866,706519,2151411,และ,ทุ่งช้าง,น่าน,0, , ,100.96718179613947,19.44647707178374
25867,706302,2151476,และ,ทุ่งช้าง,น่าน,0, , ,100.96512275321227,19.447086545733825
25868,699822,2148123,และ,ทุ่งช้าง,น่าน,0, , ,100.90307055539445,19.417459521608514
25869,699552,2148836,และ,ทุ่งช้าง,น่าน,0, , ,100.90057506777868,19.423926453397264
25870,702706,2148563,และ,ทุ่งช้าง,น่าน,0, , ,100.93057270493887,19.421143832842816
25871,666853,2153227,ยอด,สองแคว,น่าน,0, , ,100.58962710821898,19.466586270273886
25872,665440,2152109,ยอด,สองแคว,น่าน,0, , ,100.57607149138616,19.456604042266623
